,회사명,종목코드,업종
501,이즈미디어,181340,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
502,이지케어텍,099750,소프트웨어 개발 및 공급업
503,인바디,041830,의료용 기기 제조업
504,인선이엔티,060150,폐기물 처리업
505,인포바인,115310,전기 통신업
506,인포뱅크,039290,기타 정보 서비스업
507,잉크테크,049550,기타 화학제품 제조업
508,전진바이오팜,110020,기타 화학제품 제조업
509,정다운,208140,"도축, 육류 가공 및 저장 처리업"
510,제넨바이오,072520,폐기물 처리업
511,제놀루션,225220,기초 의약물질 및 생물학적 제제 제조업
512,제이스텍,090470,특수 목적용 기계 제조업
513,제이엘케이,322510,소프트웨어 개발 및 공급업
514,제일바이오,052670,의약품 제조업
515,제일제강,023440,1차 철강 제조업
516,젬백스지오,041590,실내건축 및 건축마무리 공사업
517,조이맥스,101730,소프트웨어 개발 및 공급업
518,조이시티,067000,소프트웨어 개발 및 공급업
519,지니뮤직,043610,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
520,지니언스,263860,소프트웨어 개발 및 공급업
521,지란지교시큐리티,208350,소프트웨어 개발 및 공급업
522,지스마트글로벌,114570,반도체 제조업
523,지와이커머스,111820,기타 정보 서비스업
524,지티지웰니스,219750,의료용 기기 제조업
525,참좋은여행,094850,여행사 및 기타 여행보조 서비스업
526,천보,278280,기초 화학물질 제조업
527,초록뱀,047820,"영화, 비디오물, 방송프로그램 제작 및 배급업"
528,컴투스,078340,소프트웨어 개발 및 공급업
529,케이비제19호스팩,330990,금융 지원 서비스업
530,케이엔더블유,105330,전자부품 제조업
531,코데즈컴바인,047770,봉제의복 제조업
532,코드네이처,078940,전기 및 통신 공사업
533,코리아센터,290510,소프트웨어 개발 및 공급업
534,코메론,049430,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
535,코미팜,041960,의약품 제조업
536,코아시아,045970,반도체 제조업
537,코웰패션,033290,"섬유, 의복, 신발 및 가죽제품 소매업"
538,코위버,056360,통신 및 방송 장비 제조업
539,큐브앤컴퍼니,043090,기타 전문 도매업
540,큐브엔터,182360,오디오물 출판 및 원판 녹음업
541,크루셜텍,114120,전자부품 제조업
542,크리스탈지노믹스,083790,자연과학 및 공학 연구개발업
543,클리노믹스,352770,의료용품 및 기타 의약 관련제품 제조업
544,클리오,237880,기타 화학제품 제조업
545,키움제5호스팩,311270,금융 지원 서비스업
546,테고사이언스,191420,기초 의약물질 및 생물학적 제제 제조업
547,테라사이언스,073640,기타 금속 가공제품 제조업
548,테라젠이텍스,066700,의약품 제조업
549,테스나,131970,"그외 기타 전문, 과학 및 기술 서비스업"
550,티에스아이,277880,특수 목적용 기계 제조업
551,파멥신,208340,의약품 제조업
552,파수,150900,소프트웨어 개발 및 공급업
553,파인디지털,038950,통신 및 방송 장비 제조업
554,팍스넷,038160,기타 정보 서비스업
555,팬엔터테인먼트,068050,"영화, 비디오물, 방송프로그램 제작 및 배급업"
556,펌텍코리아,251970,플라스틱제품 제조업
557,풍강,093380,기타 금속 가공제품 제조업
558,플레이디,237820,광고업
559,피에스텍,002230,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
560,피엔티,137400,특수 목적용 기계 제조업
561,픽셀플러스,087600,전자부품 제조업
562,핌스,347770,전자부품 제조업
563,핑거,163730,소프트웨어 개발 및 공급업
564,하나금융17호스팩,363260,금융 지원 서비스업
565,하나마이크론,067310,반도체 제조업
566,한국기업평가,034950,기타 사업지원 서비스업
567,한국바이오젠,318000,합성고무 및 플라스틱 물질 제조업
568,한국비엔씨,256840,기초 의약물질 및 생물학적 제제 제조업
569,한국아트라스비엑스,023890,일차전지 및 축전지 제조업
570,한국알콜,017890,기타 화학제품 제조업
571,한국전자금융,063570,금융 지원 서비스업
572,한국정보인증,053300,소프트웨어 개발 및 공급업
573,한국정보통신,025770,전기 통신업
574,한글과컴퓨터,030520,소프트웨어 개발 및 공급업
575,한일단조,024740,자동차 신품 부품 제조업
576,한컴MDS,086960,소프트웨어 개발 및 공급업
577,한컴위드,054920,소프트웨어 개발 및 공급업
578,현진소재,053660,기타 금속 가공제품 제조업
579,형지I&C,011080,봉제의복 제조업
580,휴네시온,290270,소프트웨어 개발 및 공급업
581,휴맥스홀딩스,028080,기타 금융업
582,흥국에프엔비,189980,비알코올음료 및 얼음 제조업
583,구스앤홈,329050,직물직조 및 직물제품 제조업
584,노드메이슨,317860,기타 화학제품 제조업
585,대주이엔티,114920,1차 철강 제조업
586,디피코,163430,"건축기술, 엔지니어링 및 관련 기술 서비스업"
587,래몽래인,200350,"영화, 비디오물, 방송프로그램 제작 및 배급업"
588,메디안디노스틱,233250,의료용품 및 기타 의약 관련제품 제조업
589,미애부,225850,생활용품 도매업
590,바이오시네틱스,281310,자연과학 및 공학 연구개발업
591,바이옵트로,222160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
592,비플라이소프트,148780,소프트웨어 개발 및 공급업
593,앙츠,267810,컴퓨터 및 통신장비 수리업
594,에이치엔에스하이텍,044990,전자부품 제조업
595,오션스톤,329020,음·식료품 및 담배 도매업
596,이노벡스,279060,전자부품 제조업
597,테크엔,308700,전구 및 조명장치 제조업
598,테크트랜스,258050,기타 금속 가공제품 제조업
599,티케이씨,191600,전자부품 제조업
600,틸론,217880,소프트웨어 개발 및 공급업
601,휴럼,284420,기타 식품 제조업
602,BGF리테일,282330,종합 소매업
603,BNK금융지주,138930,기타 금융업
604,DRB동일,004840,기타 금융업
605,GS건설,006360,건물 건설업
606,HDC아이콘트롤스,039570,전기 및 통신 공사업
607,KTis,058860,기타 정보 서비스업
608,LG상사,001120,상품 중개업
609,MH에탄올,023150,알코올음료 제조업
610,SBS,034120,텔레비전 방송업
611,SBS미디어홀딩스,101060,텔레비전 방송업
612,SK텔레콤,017670,전기 통신업
613,YG PLUS,037270,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
614,가온전선,000500,절연선 및 케이블 제조업
615,강원랜드,035250,유원지 및 기타 오락관련 서비스업
616,국제약품,002720,의약품 제조업
617,금양,001570,기초 화학물질 제조업
618,넥센타이어,002350,고무제품 제조업
619,녹십자홀딩스,005250,회사 본부 및 경영 컨설팅 서비스업
620,농심홀딩스,072710,기타 금융업
621,다스코,058730,"구조용 금속제품, 탱크 및 증기발생기 제조업"
622,대림건설,001880,건물 건설업
623,대웅제약,069620,의약품 제조업
624,대한유화,006650,기초 화학물질 제조업
625,더존비즈온,012510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
626,덕성,004830,플라스틱제품 제조업
627,도화엔지니어링,002150,"건축기술, 엔지니어링 및 관련 기술 서비스업"
628,동방아그로,007590,"비료, 농약 및 살균, 살충제 제조업"
629,동서,026960,음·식료품 및 담배 도매업
630,동성코퍼레이션,102260,회사 본부 및 경영 컨설팅 서비스업
631,동아쏘시오홀딩스,000640,기타 금융업
632,동양,001520,"시멘트, 석회, 플라스터 및 그 제품 제조업"
633,동양생명,082640,보험업
634,동원산업,006040,어로 어업
635,디아이,003160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
636,디와이,013570,기타 금융업
637,롯데정밀화학,004000,기초 화학물질 제조업
638,롯데푸드,002270,낙농제품 및 식용빙과류 제조업
639,만도,204320,자동차 신품 부품 제조업
640,맥쿼리인프라,088980,신탁업 및 집합투자업
641,메타랩스,090370,봉제의복 제조업
642,명문제약,017180,의약품 제조업
643,모토닉,009680,자동차 신품 부품 제조업
644,미래에셋맵스리츠,357250,부동산 임대 및 공급업
645,미원화학,134380,기타 화학제품 제조업
646,범양건영,002410,건물 건설업
647,베트남개발1,096300,신탁업 및 집합투자업
648,빙그레,005180,낙농제품 및 식용빙과류 제조업
649,삼성바이오로직스,207940,기초 의약물질 및 생물학적 제제 제조업
650,삼성에스디에스,018260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
651,삼성증권,016360,금융 지원 서비스업
652,삼성카드,029780,기타 금융업
653,삼양통상,002170,"가죽, 가방 및 유사제품 제조업"
654,삼영무역,002810,기타 전문 도매업
655,삼일제약,000520,의약품 제조업
656,삼정펄프,009770,"펄프, 종이 및 판지 제조업"
657,샘표식품,248170,기타 식품 제조업
658,서연이화,200880,자동차 신품 부품 제조업
659,성보화학,003080,"비료, 농약 및 살균, 살충제 제조업"
660,세아제강,306200,1차 철강 제조업
661,센트랄모텍,308170,자동차 신품 부품 제조업
662,센트럴인사이트,012600,일반 목적용 기계 제조업
663,송원산업,004430,기타 화학제품 제조업
664,신도리코,029530,컴퓨터 및 주변장치 제조업
665,신성이엔지,011930,반도체 제조업
666,신세계인터내셔날,031430,"섬유, 의복, 신발 및 가죽제품 소매업"
667,신세계푸드,031440,음식점업
668,신화실업,001770,1차 철강 제조업
669,씨아이테크,004920,그외 기타 제품 제조업
670,아모레퍼시픽그룹,002790,기타 화학제품 제조업
671,애경산업,018250,기타 화학제품 제조업
672,에이플러스에셋,244920,보험 및 연금관련 서비스업
673,엔에이치엔,181710,소프트웨어 개발 및 공급업
674,유니켐,011330,"가죽, 가방 및 유사제품 제조업"
675,유양디앤유,011690,반도체 제조업
676,유화증권,003460,금융 지원 서비스업
677,이구산업,025820,1차 비철금속 제조업
678,이월드,084680,유원지 및 기타 오락관련 서비스업
679,일성신약,003120,의약품 제조업
680,제이에스코퍼레이션,194370,"가죽, 가방 및 유사제품 제조업"
681,제이준코스메틱,025620,기타 화학제품 제조업
682,조비,001550,"비료, 농약 및 살균, 살충제 제조업"
683,조선선재,120030,기타 금속 가공제품 제조업
684,종근당바이오,063160,의약품 제조업
685,지누스,013890,가구 제조업
686,진양화학,051630,플라스틱제품 제조업
687,케이탑리츠,145270,부동산 임대 및 공급업
688,코스모신소재,005070,기타 화학제품 제조업
689,쿠쿠홈시스,284740,개인 및 가정용품 임대업
690,태평양물산,007980,봉제의복 제조업
691,테이팩스,055490,플라스틱제품 제조업
692,텔코웨어,078000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
693,티와이홀딩스,363280,기타 금융업
694,팜스코,036580,"곡물가공품, 전분 및 전분제품 제조업"
695,하이스틸,071090,1차 철강 제조업
696,하이트진로,000080,알코올음료 제조업
697,한국석유공업,004090,기타 비금속 광물제품 제조업
698,한국수출포장공업,002200,"골판지, 종이 상자 및 종이용기 제조업"
699,한국자산신탁,123890,신탁업 및 집합투자업
700,한국주강,025890,특수 목적용 기계 제조업
701,한국콜마홀딩스,024720,기타 금융업
702,한국항공우주,047810,"항공기,우주선 및 부품 제조업"
703,한라홀딩스,060980,기타 금융업
704,한미사이언스,008930,기타 금융업
705,한샘,009240,생활용품 도매업
706,한솔홀딩스,004150,기타 금융업
707,한신공영,004960,건물 건설업
708,한신기계공업,011700,일반 목적용 기계 제조업
709,한화,000880,기타 화학제품 제조업
710,한화에어로스페이스,012450,"항공기,우주선 및 부품 제조업"
711,현대퓨처넷,126560,텔레비전 방송업
712,효성 ITX,094280,기타 사업지원 서비스업
713,휴니드테크놀러지스,005870,통신 및 방송 장비 제조업
714,COWON,056000,소프트웨어 개발 및 공급업
715,EMW,079190,통신 및 방송 장비 제조업
716,JTC,950170,종합 소매업
717,KCC건설,021320,건물 건설업
718,KCI,036670,기타 화학제품 제조업
719,KG ETS,151860,폐기물 처리업
720,NEW,160550,"영화, 비디오물, 방송프로그램 제작 및 배급업"
721,SBI핀테크솔루션즈,950110,소프트웨어 개발 및 공급업
722,SGA솔루션즈,184230,소프트웨어 개발 및 공급업
723,SM Life Design,063440,기록매체 복제업
724,W홀딩컴퍼니,052300,기타 운송관련 서비스업
725,고려시멘트,198440,"시멘트, 석회, 플라스터 및 그 제품 제조업"
726,교보9호스팩,331520,금융 지원 서비스업
727,국일신동,060480,1차 비철금속 제조업
728,국전약품,307750,의약품 제조업
729,나노신소재,121600,기타 화학제품 제조업
730,나무가,190510,전자부품 제조업
731,나인테크,267320,특수 목적용 기계 제조업
732,넥스트아이,137940,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
733,넥슨지티,041140,소프트웨어 개발 및 공급업
734,노터스,278650,자연과학 및 공학 연구개발업
735,뉴프라이드,900100,자동차 부품 및 내장품 판매업
736,다산네트웍스,039560,통신 및 방송 장비 제조업
737,다원시스,068240,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
738,대명소노시즌,007720,상품 종합 도매업
739,대성미생물,036480,의약품 제조업
740,대원산업,005710,자동차 신품 부품 제조업
741,대한광통신,010170,절연선 및 케이블 제조업
742,더블유에스아이,299170,생활용품 도매업
743,덕신하우징,090410,"구조용 금속제품, 탱크 및 증기발생기 제조업"
744,덴티스,261200,의료용 기기 제조업
745,동국알앤에스,075970,기타 비금속 광물제품 제조업
746,동신건설,025950,토목 건설업
747,동일기연,032960,전자부품 제조업
748,듀오백,073190,가구 제조업
749,드림어스컴퍼니,060570,기타 전문 도매업
750,디지아이,043360,컴퓨터 및 주변장치 제조업
751,디지털대성,068930,일반 교습 학원
752,디티앤씨,187220,기타 과학기술 서비스업
753,라이브플렉스,050120,생활용품 도매업
754,램테크놀러지,171010,기초 화학물질 제조업
755,레고켐바이오,141080,자연과학 및 공학 연구개발업
756,레몬,294140,화학섬유 제조업
757,로보스타,090360,특수 목적용 기계 제조업
758,리드코프,012700,기타 전문 도매업
759,맥스로텍,141070,특수 목적용 기계 제조업
760,메디콕스,054180,선박 및 보트 건조업
761,메디포스트,078160,기초 의약물질 및 생물학적 제제 제조업
762,미래컴퍼니,049950,특수 목적용 기계 제조업
763,바이브컴퍼니,301300,소프트웨어 개발 및 공급업
764,바이오니아,064550,의료용품 및 기타 의약 관련제품 제조업
765,베뉴지,019010,종합 소매업
766,베셀,177350,특수 목적용 기계 제조업
767,보라티알,250000,음·식료품 및 담배 도매업
768,부방,014470,기타 금융업
769,브리지텍,064480,소프트웨어 개발 및 공급업
770,비즈니스온,138580,소프트웨어 개발 및 공급업
771,삼진엘앤디,054090,그외 기타 제품 제조업
772,삼천리자전거,024950,생활용품 도매업
773,삼현철강,017480,1차 철강 제조업
774,서산,079650,"시멘트, 석회, 플라스터 및 그 제품 제조업"
775,서진오토모티브,122690,자동차 신품 부품 제조업
776,성우테크론,045300,전자부품 제조업
777,성우하이텍,015750,자동차 신품 부품 제조업
778,세운메디칼,100700,의료용품 및 기타 의약 관련제품 제조업
779,세종텔레콤,036630,전기 통신업
780,솔고바이오,043100,의료용 기기 제조업
781,솔본,035610,회사 본부 및 경영 컨설팅 서비스업
782,수산아이앤티,050960,소프트웨어 개발 및 공급업
783,슈펙스비앤피,058530,생활용품 도매업
784,슈피겐코리아,192440,그외 기타 제품 제조업
785,스카이이앤엠,131100,상품 종합 도매업
786,시공테크,020710,전문디자인업
787,시그네틱스,033170,반도체 제조업
788,시큐브,131090,소프트웨어 개발 및 공급업
789,신도기연,290520,특수 목적용 기계 제조업
790,신테카바이오,226330,소프트웨어 개발 및 공급업
791,실리콘웍스,108320,반도체 제조업
792,쎄노텍,222420,기타 비금속 광물제품 제조업
793,쎄미시스코,136510,특수 목적용 기계 제조업
794,쎄트렉아이,099320,"항공기,우주선 및 부품 제조업"
795,씨엠에스에듀,225330,일반 교습 학원
796,씨큐브,101240,기초 화학물질 제조업
797,아비코전자,036010,전자부품 제조업
798,아스타,246720,의료용품 및 기타 의약 관련제품 제조업
799,아이디피,332370,컴퓨터 및 주변장치 제조업
800,아이에이네트웍스,123010,전자부품 제조업
801,아이톡시,052770,소프트웨어 개발 및 공급업
802,아진산업,013310,자동차 신품 부품 제조업
803,아프리카TV,067160,소프트웨어 개발 및 공급업
804,알체라,347860,소프트웨어 개발 및 공급업
805,알티캐스트,085810,소프트웨어 개발 및 공급업
806,애니젠,196300,기초 의약물질 및 생물학적 제제 제조업
807,앤디포스,238090,플라스틱제품 제조업
808,앱클론,174900,의료용품 및 기타 의약 관련제품 제조업
809,에스와이,109610,"구조용 금속제품, 탱크 및 증기발생기 제조업"
810,에스트래픽,234300,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
811,에스퓨얼셀,288620,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
812,에이디칩스,054630,그외 기타 제품 제조업
813,에이비엘바이오,298380,기초 의약물질 및 생물학적 제제 제조업
814,에이스침대,003800,가구 제조업
815,에이텍티앤,224110,통신 및 방송 장비 제조업
816,에이팸,073070,자동차 신품 부품 제조업
817,엑셈,205100,소프트웨어 개발 및 공급업
818,엔브이에이치코리아,067570,자동차 신품 부품 제조업
819,엔지켐생명과학,183490,기초 의약물질 및 생물학적 제제 제조업
820,엔케이맥스,182400,기초 의약물질 및 생물학적 제제 제조업
821,엔텔스,069410,소프트웨어 개발 및 공급업
822,엘디티,096870,반도체 제조업
823,엘컴텍,037950,전자부품 제조업
824,영림원소프트랩,060850,소프트웨어 개발 및 공급업
825,예스티,122640,특수 목적용 기계 제조업
826,오스테오닉,226400,의료용 기기 제조업
827,오텍,067170,자동차 재제조 부품 제조업
828,와이즈버즈,273060,광고업
829,원익머트리얼즈,104830,기초 화학물질 제조업
830,원풍,008370,플라스틱제품 제조업
831,웹젠,069080,소프트웨어 개발 및 공급업
832,위닉스,044340,가정용 기기 제조업
833,위메이드,112040,소프트웨어 개발 및 공급업
834,유비벨록스,089850,소프트웨어 개발 및 공급업
835,유비쿼스,264450,통신 및 방송 장비 제조업
836,유안타제4호스팩,313750,금융 지원 서비스업
837,유진테크,084370,특수 목적용 기계 제조업
838,유테크,178780,전자부품 제조업
839,이건홀딩스,039020,제재 및 목재 가공업
840,이노와이어리스,073490,통신 및 방송 장비 제조업
841,이녹스첨단소재,272290,전자부품 제조업
842,이랜텍,054210,전자부품 제조업
843,이수앱지스,086890,의료용품 및 기타 의약 관련제품 제조업
844,인산가,277410,기타 식품 제조업
845,인성정보,033230,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
846,인탑스,049070,통신 및 방송 장비 제조업
847,인터파크,035080,무점포 소매업
848,인텔리안테크,189300,통신 및 방송 장비 제조업
849,자안,221610,기타 화학제품 제조업
850,자이언트스텝,289220,"영화, 비디오물, 방송프로그램 제작 및 배급업"
851,재영솔루텍,049630,사진장비 및 광학기기 제조업
852,제낙스,065620,1차 철강 제조업
853,제이앤티씨,204270,전자부품 제조업
854,제이티,089790,특수 목적용 기계 제조업
855,좋은사람들,033340,봉제의복 제조업
856,지더블유바이텍,036180,기계장비 및 관련 물품 도매업
857,진바이오텍,086060,동물용 사료 및 조제식품 제조업
858,진성티이씨,036890,특수 목적용 기계 제조업
859,카이노스메드,284620,자연과학 및 공학 연구개발업
860,캐리소프트,317530,"영화, 비디오물, 방송프로그램 제작 및 배급업"
861,캠시스,050110,전자부품 제조업
862,케이비제18호스팩,323940,금융 지원 서비스업
863,케이엠더블유,032500,통신 및 방송 장비 제조업
864,케이피에프,024880,기타 금속 가공제품 제조업
865,코닉글로리,094860,소프트웨어 개발 및 공급업
866,코디엠,224060,특수 목적용 기계 제조업
867,코리아에셋투자증권,190650,기타 금융업
868,코미코,183300,특수 목적용 기계 제조업
869,코스맥스엔비티,222040,기타 식품 제조업
870,코스메카코리아,241710,기타 화학제품 제조업
871,코이즈,121850,플라스틱제품 제조업
872,키이스트,054780,"영화, 비디오물, 방송프로그램 제작 및 배급업"
873,태웅로직스,124560,기타 운송관련 서비스업
874,테라셈,182690,반도체 제조업
875,텔콘RF제약,200230,통신 및 방송 장비 제조업
876,토비스,051360,영상 및 음향기기 제조업
877,티라유텍,322180,소프트웨어 개발 및 공급업
878,티비씨,033830,텔레비전 방송업
879,티엘비,356860,전자부품 제조업
880,파나진,046210,의료용품 및 기타 의약 관련제품 제조업
881,파버나인,177830,전자부품 제조업
882,파워넷,037030,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
883,프로텍,053610,특수 목적용 기계 제조업
884,피앤이솔루션,131390,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
885,피에스케이,319660,특수 목적용 기계 제조업
886,필옵틱스,161580,특수 목적용 기계 제조업
887,하나금융14호스팩,332710,금융 지원 서비스업
888,하나금융16호스팩,343510,금융 지원 서비스업
889,한국캐피탈,023760,기타 금융업
890,한일네트웍스,046110,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
891,한화플러스제1호스팩,340440,금융 지원 서비스업
892,해마로푸드서비스,220630,음·식료품 및 담배 도매업
893,헬릭스미스,084990,자연과학 및 공학 연구개발업
894,휴먼엔,032860,"해체, 선별 및 원료 재생업"
895,럭스피아,092590,반도체 제조업
896,무진메디,322970,자연과학 및 공학 연구개발업
897,바이오프로테크,199290,의료용 기기 제조업
898,씨앤에스링크,245450,통신 및 방송 장비 제조업
899,에스제이켐,217910,기초 화학물질 제조업
900,엠로,058970,소프트웨어 개발 및 공급업
901,이십일스토어,270020,기타 비금속 광물제품 제조업
902,이엠티,232530,일차전지 및 축전지 제조업
903,인카금융서비스,211050,보험 및 연금관련 서비스업
904,태양기계,116100,자동차 신품 부품 제조업
905,한중엔시에스,107640,자동차 신품 부품 제조업
906,CJ대한통운,000120,도로 화물 운송업
907,DSR제강,069730,1차 철강 제조업
908,ESR켄달스퀘어리츠,365550,부동산 임대 및 공급업
909,F&F,007700,봉제의복 제조업
910,GKL,114090,유원지 및 기타 오락관련 서비스업
911,JW중외제약,001060,의약품 제조업
912,KPX홀딩스,092230,기초 화학물질 제조업
913,KSS해운,044450,해상 운송업
914,LG하우시스,108670,플라스틱제품 제조업
915,LG화학,051910,기초 화학물질 제조업
916,LIG넥스원,079550,무기 및 총포탄 제조업
917,LS,006260,기타 금융업
918,NAVER,035420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
919,NICE,034310,회사 본부 및 경영 컨설팅 서비스업
920,NI스틸,008260,1차 철강 제조업
921,SGC에너지,005090,전기업
922,SH에너지화학,002360,기초 화학물질 제조업
923,SK증권,001510,금융 지원 서비스업
924,SK하이닉스,000660,반도체 제조업
925,SNT에너지,100840,일반 목적용 기계 제조업
926,경인양행,012610,기초 화학물질 제조업
927,경인전자,009140,전자부품 제조업
928,국보,001140,도로 화물 운송업
929,기신정기,092440,특수 목적용 기계 제조업
930,녹십자,006280,의약품 제조업
931,대덕,008060,기타 금융업
932,대동전자,008110,통신 및 방송 장비 제조업
933,대림비앤코,005750,"내화, 비내화 요업제품 제조업"
934,대양금속,009190,1차 철강 제조업
935,대원강업,000430,자동차 신품 부품 제조업
936,대창,012800,1차 비철금속 제조업
937,동국제강,001230,1차 철강 제조업
938,동양물산기업,002900,특수 목적용 기계 제조업
939,동화약품,000020,의약품 제조업
940,두산밥캣,241560,특수 목적용 기계 제조업
941,두산중공업,034020,일반 목적용 기계 제조업
942,디아이동일,001530,상품 중개업
943,디아이씨,092200,자동차 신품 부품 제조업
944,롯데관광개발,032350,여행사 및 기타 여행보조 서비스업
945,롯데칠성음료,005300,비알코올음료 및 얼음 제조업
946,롯데케미칼,011170,기초 화학물질 제조업
947,맵스리얼티1,094800,신탁업 및 집합투자업
948,명신산업,009900,자동차 신품 부품 제조업
949,무학,033920,알코올음료 제조업
950,미래아이앤지,007120,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
951,바다로19호,155900,운송장비 임대업
952,부산주공,005030,자동차 신품 부품 제조업
953,사조씨푸드,014710,수산물 가공 및 저장 처리업
954,삼성전자,005930,통신 및 방송 장비 제조업
955,삼성제약,001360,의약품 제조업
956,삼원강재,023000,자동차 신품 부품 제조업
957,삼익THK,004380,일반 목적용 기계 제조업
958,삼화왕관,004450,기타 금속 가공제품 제조업
959,서연,007860,기타 금융업
960,선창산업,002820,나무제품 제조업
961,성신양회,004980,"시멘트, 석회, 플라스터 및 그 제품 제조업"
962,세아특수강,019440,1차 철강 제조업
963,세우글로벌,013000,기타 전문 도매업
964,세원정공,021820,자동차 신품 부품 제조업
965,세진중공업,075580,선박 및 보트 건조업
966,세화아이엠씨,145210,특수 목적용 기계 제조업
967,셀트리온,068270,기초 의약물질 및 생물학적 제제 제조업
968,신성통상,005390,기타 전문 도매업
969,신세계,004170,종합 소매업
970,아모레퍼시픽,090430,기타 화학제품 제조업
971,아세아,002030,회사 본부 및 경영 컨설팅 서비스업
972,아이에스동서,010780,"내화, 비내화 요업제품 제조업"
973,에넥스,011090,가구 제조업
974,에스제이엠,123700,자동차 신품 부품 제조업
975,에이리츠,140910,부동산 임대 및 공급업
976,엔에스쇼핑,138250,무점포 소매업
977,엔케이,085310,"구조용 금속제품, 탱크 및 증기발생기 제조업"
978,엔피씨,004250,플라스틱제품 제조업
979,영원무역,111770,상품 종합 도매업
980,영원무역홀딩스,009970,기타 금융업
981,우리들휴브레인,118000,기계장비 및 관련 물품 도매업
982,우신시스템,017370,특수 목적용 기계 제조업
983,우진,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
984,우진플라임,049800,특수 목적용 기계 제조업
985,유니드,014830,기초 화학물질 제조업
986,유진증권,001200,금융 지원 서비스업
987,이건산업,008250,나무제품 제조업
988,이노션,214320,광고업
989,이연제약,102460,의약품 제조업
990,인스코비,006490,전기 통신업
991,조광페인트,004910,기타 화학제품 제조업
992,조선내화,000480,"내화, 비내화 요업제품 제조업"
993,진에어,272450,항공 여객 운송업
994,참엔지니어링,009310,특수 목적용 기계 제조업
995,케이씨씨글라스,344820,유리 및 유리제품 제조업
996,코오롱글로벌,003070,토목 건설업
